split,sample_idx,query_poi_id,target_poi_id,bucket,target_epoch,traj_len,positive_unique_count,positive_fact_count,parsed_ok,note
train,0,3478,693,7,1339394749,3,1,1,True,
train,1,727,3545,2,1341406814,2,1,1,True,
train,2,4180,212,7,1334402107,4,1,1,True,
train,3,717,3545,6,1335072807,6,1,1,True,
train,4,344,3544,2,1336792738,4,2,2,True,
train,5,271,3824,0,1337228002,3,2,2,True,
train,6,1386,939,1,1338444616,3,1,1,True,
train,7,1686,3544,2,1339212159,2,2,3,True,
train,8,3888,348,3,1339567276,2,40,77,True,
train,9,3544,348,0,1341290121,5,41,131,True,
train,10,2653,1485,1,1341555515,5,1,1,True,
train,11,1686,3544,2,1336187271,4,1,1,True,
train,12,821,374,2,1338198175,5,2,2,True,
train,13,978,1883,2,1339065760,6,1,1,True,
train,14,1883,4049,3,1339562036,4,2,4,True,
train,15,4049,983,3,1340768697,2,1,2,True,
train,16,932,341,3,1341657922,8,4,4,True,
train,17,1444,4686,2,1352208050,2,2,2,True,
train,18,1533,4049,2,1334844607,2,1,1,True,
train,19,1883,381,4,1335095950,2,1,1,True,
train,20,1883,584,3,1335316997,2,10,16,True,
train,21,739,1189,3,1342868560,3,1,1,True,
train,22,739,3886,3,1343469335,2,2,3,True,
train,23,1189,1093,7,1344761245,3,3,3,True,
train,24,1261,739,3,1344944141,3,7,11,True,
train,25,1508,1093,3,1345279243,2,2,2,True,
train,26,1093,3886,3,1346846351,2,3,4,True,
train,27,739,1632,3,1347620693,2,12,15,True,
train,28,1595,739,3,1351162736,7,8,15,True,
train,29,3886,1189,6,1351399625,2,1,1,True,
train,30,1093,1828,7,1341061199,2,1,1,True,
train,31,739,3886,3,1341311705,2,1,1,True,
train,32,1632,1093,2,1342173616,7,3,3,True,
train,33,1595,739,3,1342609281,5,6,7,True,
train,34,772,964,1,1336175799,6,2,2,True,
train,35,1267,1569,0,1336353144,3,2,3,True,
train,36,4472,356,2,1336789171,10,25,32,True,
train,37,3322,1320,0,1337042509,5,1,1,True,
train,38,4049,356,3,1337404203,5,49,70,True,
train,39,772,3322,1,1337646603,2,1,1,True,
train,40,4472,4309,0,1338251612,2,2,2,True,
train,41,3322,4049,0,1338814402,3,4,8,True,
train,42,4472,3322,0,1339113657,4,3,3,True,
train,43,908,4049,4,1341629449,5,1,1,True,
train,44,4049,4472,0,1341802116,3,5,9,True,
train,45,4472,4599,1,1342150970,4,1,1,True,
train,46,4472,4599,0,1343633015,3,2,2,True,
train,47,4472,2941,0,1347513161,2,4,4,True,
train,48,4472,4049,0,1350953356,2,6,11,True,
train,49,3322,4472,0,1334884068,17,3,3,True,
train,50,4309,3322,6,1335138814,2,1,1,True,
train,51,3322,4049,0,1335526205,7,3,5,True,
train,52,41,1513,3,1344549239,2,2,2,True,
train,53,1513,1121,4,1335090331,2,1,1,True,
train,54,1550,1513,3,1351203324,3,4,5,True,
train,55,1182,1467,0,1336106120,2,2,2,True,
train,56,3672,4454,6,1336370222,2,1,1,True,
train,57,171,2184,1,1336736824,2,2,2,True,
train,58,356,1467,6,1336971180,3,2,2,True,
train,59,730,81,3,1341561000,4,1,1,True,
train,60,3742,1161,7,1341815913,2,1,1,True,
train,61,417,356,0,1342087947,3,61,162,True,
train,62,8,232,6,1334462358,2,8,8,True,
train,63,838,3793,5,1334993923,3,1,1,True,
train,64,242,3988,1,1336057250,2,1,1,True,
train,65,2682,1323,7,1339323171,2,1,1,True,
train,66,730,995,2,1341396468,2,1,1,True,
train,67,799,799,4,1334480173,3,3,3,True,
train,68,3444,3192,0,1335313369,3,2,4,True,
train,69,3690,3690,3,1342463188,3,2,3,True,
train,70,3690,500,3,1338294616,4,1,1,True,
train,71,939,349,3,1338512417,2,1,1,True,
train,72,621,404,3,1338821050,7,16,18,True,
train,73,3690,405,0,1341803477,8,7,7,True,
train,74,2617,3690,3,1342025341,3,1,1,True,
train,75,2009,3373,3,1333580668,3,1,1,True,
train,76,3090,2393,3,1336560853,7,2,2,True,
train,77,870,3000,4,1336778101,6,1,4,True,
train,78,3000,2095,4,1337410988,20,4,4,True,
train,79,3000,3373,0,1337643867,4,1,2,True,
train,80,2436,3090,2,1337955236,2,9,9,True,
train,81,2095,2095,7,1338171728,2,2,3,True,
train,82,3000,3373,3,1338849566,5,4,13,True,
train,83,2393,2009,3,1339584318,18,3,6,True,
train,84,3373,2009,0,1342439327,3,1,3,True,
train,85,1816,4971,7,1351424709,3,13,13,True,
train,86,1914,2009,5,1334480375,17,2,2,True,
train,87,2393,3000,3,1335222524,19,2,4,True,
train,88,2009,3373,3,1335394243,3,3,6,True,
train,89,1305,2009,5,1335691482,7,3,3,True,
train,90,870,2009,6,1336295969,15,2,2,True,
train,91,4971,3522,5,1351406554,11,2,2,True,
train,92,3522,4759,1,1352264374,8,1,1,True,
train,93,4936,4759,1,1352446289,2,2,2,True,
train,94,234,234,2,1333580926,4,1,1,True,
train,95,1176,249,5,1335674933,6,2,2,True,
train,96,234,234,4,1336190494,7,2,6,True,
train,97,234,234,0,1336561704,3,12,26,True,
train,98,234,234,0,1336956684,11,14,30,True,
train,99,234,234,4,1337418527,14,2,8,True,
train,100,3077,234,2,1337638568,2,10,17,True,
train,101,249,234,1,1337934086,2,11,15,True,
train,102,234,234,6,1333836980,6,1,1,True,
train,103,234,1467,1,1338290588,10,1,1,True,
train,104,234,234,2,1339027581,8,11,20,True,
train,105,3190,234,2,1339628238,17,15,24,True,
train,106,234,234,1,1340059187,7,15,21,True,
train,107,234,3190,3,1340246345,2,1,2,True,
train,108,889,234,1,1341549131,18,18,25,True,
train,109,3190,234,6,1341793534,2,14,20,True,
train,110,234,234,1,1334185122,4,3,4,True,
train,111,234,1852,4,1342225144,11,1,1,True,
train,112,234,3190,3,1342588413,7,3,5,True,
train,113,234,3190,0,1343626375,5,1,7,True,
train,114,3190,234,6,1344212088,2,14,21,True,
train,115,234,234,0,1344930335,11,23,80,True,
train,116,234,3190,4,1345268674,2,1,5,True,
train,117,3190,234,4,1347700660,3,6,17,True,
train,118,234,234,6,1334534219,4,5,6,True,
train,119,3190,234,3,1350945106,2,23,35,True,
train,120,3190,234,4,1351338894,4,6,18,True,
train,121,234,234,0,1352412450,4,24,85,True,
train,122,234,234,3,1334876820,7,7,8,True,
train,123,234,234,4,1335068104,4,1,3,True,
train,124,234,234,2,1335397414,3,4,5,True,
train,125,4279,1171,6,1335689557,7,2,2,True,
train,126,330,163,7,1336303258,10,1,2,True,
train,127,330,4790,7,1336841231,15,1,1,True,
train,128,163,2662,3,1337391175,2,2,2,True,
train,129,3006,724,6,1343480909,4,1,1,True,
train,130,2246,163,0,1344492118,2,2,4,True,
train,131,163,4344,7,1344773221,4,2,2,True,
train,132,518,553,6,1347723829,4,1,1,True,
train,133,1383,350,5,1333866278,3,1,1,True,
train,134,350,3697,3,1334239715,4,3,3,True,
train,135,3697,2246,6,1334540770,8,1,1,True,
train,136,356,1286,0,1334798776,2,1,1,True,
train,137,2587,1687,3,1333506684,2,1,1,True,
train,138,1974,1667,1,1335397084,4,3,3,True,
train,139,1687,2587,0,1336561908,4,1,1,True,
train,140,1112,2587,2,1337181501,6,2,2,True,
train,141,1687,1667,0,1338256158,2,7,12,True,
train,142,434,1974,7,1339209391,8,1,1,True,
train,143,2587,2587,3,1339600782,6,3,3,True,
train,144,1560,1974,0,1340762149,2,3,3,True,
train,145,1687,1687,1,1334629878,4,1,1,True,
train,146,2587,1687,3,1334901517,3,1,2,True,
train,147,909,3419,3,1333465126,2,1,1,True,
train,148,4255,3041,2,1337167142,6,1,1,True,
train,149,4654,3170,7,1339952084,2,1,1,True,
train,150,1508,4255,3,1335333492,3,2,2,True,
train,151,4255,4255,2,1336543358,3,2,2,True,
train,152,2422,356,2,1337939172,2,33,44,True,
train,153,390,279,5,1335679619,4,6,6,True,
train,154,4155,3724,4,1333853305,2,7,7,True,
train,155,2974,3489,5,1336191756,9,1,1,True,
train,156,2974,3489,3,1336789646,2,1,2,True,
train,157,3163,2468,6,1338107396,2,1,1,True,
train,158,2069,684,7,1339238314,7,1,1,True,
train,159,3489,3291,3,1339485660,3,7,7,True,
train,160,1632,1188,7,1341053520,3,1,1,True,
train,161,524,4893,2,1341394760,2,9,9,True,
train,162,811,1047,7,1341664640,3,2,2,True,
train,163,2974,1576,6,1334399699,8,1,1,True,
train,164,3489,3163,0,1342170132,2,7,7,True,
train,165,3489,2225,3,1342522163,3,1,1,True,
train,166,731,390,3,1349951948,2,8,12,True,
train,167,3489,3274,2,1352100176,2,7,8,True,
train,168,3489,2974,3,1335521582,3,2,2,True,
train,169,2583,2645,2,1337951400,2,2,2,True,
train,170,1911,1494,0,1338775824,3,3,6,True,
train,171,1362,2787,0,1339055747,2,3,11,True,
train,172,3159,3997,0,1339368892,2,3,3,True,
train,173,3997,3159,2,1339629422,4,11,20,True,
train,174,1911,4617,4,1341732820,18,1,1,True,
train,175,1911,2075,0,1342132227,8,1,1,True,
train,176,4617,1911,3,1342389368,2,7,12,True,
train,177,614,4249,2,1342600253,3,2,2,True,
train,178,659,3020,5,1345299930,2,1,1,True,
train,179,2114,1076,4,1336198584,3,3,5,True,
train,180,1340,2114,7,1336875456,3,1,1,True,
train,181,2114,4308,3,1338293908,3,2,2,True,
train,182,702,2114,7,1342922244,2,2,2,True,
train,183,494,2114,6,1343529899,2,2,2,True,
train,184,1076,2114,6,1334453158,3,1,1,True,
train,185,4308,4308,7,1344769047,4,1,1,True,
train,186,76,2114,5,1351392853,2,1,1,True,
train,187,2114,4308,4,1335092832,3,1,1,True,
train,188,338,1135,0,1349663111,12,1,1,True,
train,189,1478,1521,0,1349995677,7,2,3,True,
train,190,4822,4089,3,1336996378,2,1,1,True,
train,191,4253,2866,0,1337650315,4,2,2,True,
train,192,3668,2317,0,1338946680,3,3,3,True,
train,193,4979,509,2,1339160047,4,2,2,True,
train,194,3668,3668,0,1339548950,3,1,2,True,
train,195,4757,3668,0,1340240267,2,2,3,True,
train,196,893,3668,0,1341278000,4,3,4,True,
train,197,2746,552,0,1333512406,2,1,1,True,
train,198,2746,552,0,1335499885,11,2,5,True,
train,199,552,836,1,1336176971,8,1,5,True,
train,200,2746,552,0,1336538116,6,2,9,True,
train,201,1626,836,5,1336951543,3,4,4,True,
train,202,552,836,1,1337382569,10,1,8,True,
train,203,2746,552,0,1338264479,4,2,12,True,
train,204,836,2746,0,1338509643,2,1,19,True,
train,205,2746,552,0,1339128894,10,2,14,True,
train,206,836,836,6,1342406371,2,1,3,True,
train,207,836,836,0,1334100058,5,1,1,True,
train,208,836,2746,0,1334276154,3,1,4,True,
train,209,2746,552,0,1334894956,5,1,3,True,
train,210,1403,41,7,1351401459,3,1,1,True,
train,211,279,656,0,1351817688,7,10,16,True,
train,212,1121,348,1,1352247992,3,31,43,True,
train,213,22,3256,3,1347651507,6,6,6,True,
train,214,3811,279,1,1351158055,3,7,7,True,
train,215,435,435,3,1336658472,3,3,3,True,
train,216,2530,4610,5,1336957669,2,1,1,True,
train,217,2672,4610,3,1337649366,3,2,2,True,
train,218,4375,4610,2,1338253307,2,1,1,True,
train,219,4375,4610,6,1339983632,2,2,2,True,
train,220,912,190,7,1341661526,2,11,11,True,
train,221,4610,4610,0,1334624179,5,1,1,True,
train,222,1768,4610,3,1335230178,2,1,1,True,
train,223,2279,3481,3,1334258878,3,1,1,True,
train,224,1823,437,3,1337247777,2,7,11,True,
train,225,2279,3481,7,1339270162,4,1,2,True,
train,226,3611,68,7,1341664812,2,1,1,True,
train,227,3481,1794,2,1342090377,4,1,1,True,
train,228,1823,2279,3,1343415073,2,1,4,True,
train,229,1823,3481,7,1344639336,5,2,3,True,
train,230,140,1722,6,1345297663,3,1,1,True,
train,231,4061,3481,3,1350074375,5,4,5,True,
train,232,249,2279,7,1351362970,7,1,1,True,
train,233,2279,3481,7,1334950125,2,1,1,True,
train,234,2822,700,2,1335266815,3,1,1,True,
train,235,2881,1407,5,1335599380,2,1,1,True,
train,236,2822,1106,5,1336191782,2,1,1,True,
train,237,1838,3700,2,1350621059,4,4,6,True,
train,238,238,656,2,1336451481,5,6,6,True,
train,239,233,656,3,1337060722,2,4,4,True,
train,240,880,2164,3,1337620369,3,3,3,True,
train,241,476,152,3,1338217866,2,3,3,True,
train,242,656,4880,1,1342074734,2,1,1,True,
train,243,4880,4880,3,1344926984,2,1,1,True,
train,244,4260,656,5,1347693480,2,4,4,True,
train,245,1504,1504,7,1336855909,2,1,1,True,
train,246,230,1133,3,1337254056,3,5,5,True,
train,247,648,1504,2,1337778555,3,1,1,True,
train,248,1504,634,7,1339320869,7,1,1,True,
train,249,3802,1504,7,1351339612,2,3,3,True,
train,250,1504,274,2,1334947166,2,1,1,True,
train,251,1480,587,5,1335071179,2,1,1,True,
train,252,959,525,7,1335617100,3,2,2,True,
train,253,477,2979,2,1343640861,3,1,3,True,
train,254,1872,3156,0,1344581526,2,1,1,True,
train,255,1843,1872,6,1344777079,2,2,2,True,
train,256,1652,1872,0,1352183390,2,2,2,True,
train,257,1824,1898,2,1336378181,2,1,2,True,
train,258,1163,3473,0,1334212447,3,1,1,True,
train,259,3701,3213,3,1336190686,2,3,3,True,
train,260,3213,3213,7,1336951420,6,3,4,True,
train,261,1467,263,3,1337961714,2,1,1,True,
train,262,986,3213,7,1333842300,2,1,1,True,
train,263,3213,484,3,1339587518,2,3,3,True,
train,264,1438,3213,7,1339891795,2,4,5,True,
train,265,3213,1890,3,1341456100,2,2,2,True,
train,266,3213,3213,4,1343603922,3,1,1,True,
train,267,3217,3213,6,1344164114,2,3,4,True,
train,268,328,3713,3,1344515108,2,2,2,True,
train,269,4904,3213,5,1347700259,2,2,2,True,
train,270,3213,3213,6,1334531708,4,1,1,True,
train,271,103,3213,3,1334873619,3,2,2,True,
train,272,4513,477,3,1333517269,2,1,1,True,
train,273,2475,4513,0,1336383738,13,3,4,True,
train,274,4513,2475,0,1336521643,3,3,5,True,
train,275,949,2475,0,1336694746,4,3,6,True,
train,276,949,246,0,1337366690,12,2,2,True,
train,277,477,2409,0,1333955884,9,1,1,True,
train,278,4513,1060,0,1340756294,4,4,8,True,
train,279,4893,2475,1,1341397753,6,2,2,True,
train,280,949,2475,2,1341826846,7,1,1,True,
train,281,4513,749,3,1342007738,3,2,2,True,
train,282,4513,1219,7,1334473936,15,1,1,True,
train,283,2475,4513,3,1342217773,3,6,11,True,
train,284,949,4513,2,1342521156,6,4,4,True,
train,285,2475,4513,7,1343514210,5,5,8,True,
train,286,1372,4513,3,1344205388,2,7,12,True,
train,287,4513,404,3,1344548371,3,23,33,True,
train,288,1060,2475,2,1346850041,6,3,4,True,
train,289,1060,2409,0,1334629858,2,2,3,True,
train,290,3456,4513,3,1347626698,2,8,13,True,
train,291,1060,4513,0,1350621379,4,6,12,True,
train,292,2475,4513,3,1351312574,19,9,21,True,
train,293,2475,4513,7,1351463362,3,5,9,True,
train,294,4513,4513,2,1351811540,6,5,7,True,
train,295,4978,4513,3,1352241741,3,10,22,True,
train,296,949,1060,0,1335228116,11,3,5,True,
train,297,2622,3026,6,1335686282,14,2,2,True,
train,298,949,4513,3,1335889958,2,2,4,True,
train,299,3821,437,0,1336568676,5,3,3,True,
train,300,1528,3821,3,1338859024,4,7,9,True,
train,301,1528,437,3,1339592622,37,8,20,True,
train,302,3239,4101,7,1339876903,4,1,7,True,
train,303,233,3239,0,1337231966,24,3,4,True,
train,304,3239,4101,7,1337367479,2,1,3,True,
train,305,429,3821,0,1337648983,3,3,4,True,
train,306,4101,1608,7,1338045721,5,1,1,True,
train,307,1528,437,3,1338295832,8,7,14,True,
train,308,917,203,6,1345277350,5,2,2,True,
train,309,3422,368,3,1337144277,4,1,1,True,
train,310,1520,3422,6,1337421992,4,2,2,True,
train,311,3422,1551,4,1339322544,4,3,3,True,
train,312,3422,1206,4,1339926395,2,1,1,True,
train,313,41,1052,6,1343551241,5,1,1,True,
train,314,2009,4750,6,1334448463,2,1,1,True,
train,315,3596,3596,6,1335164768,2,2,2,True,
train,316,1245,4098,6,1336349034,6,1,1,True,
train,317,2064,3422,6,1336865559,5,1,1,True,
train,318,3757,3707,1,1341389151,3,1,1,True,
train,319,1150,3980,5,1341749160,5,4,4,True,
train,320,1975,169,0,1337347120,4,1,1,True,
train,321,4151,1975,0,1337649912,2,1,5,True,
train,322,741,742,3,1339117939,4,2,2,True,
train,323,4151,1975,0,1339556856,5,1,6,True,
train,324,4151,1975,0,1340242666,3,1,7,True,
train,325,1485,1463,3,1341266633,2,15,16,True,
train,326,1975,524,0,1334895458,3,2,2,True,
train,327,487,4151,1,1352436187,2,2,3,True,
train,328,55,2756,7,1335030968,2,2,2,True,
train,329,742,166,2,1335526177,12,1,1,True,
train,330,644,353,5,1335682682,2,4,4,True,
train,331,742,1975,2,1336531504,11,2,4,True,
train,332,1036,1432,6,1336843322,4,2,2,True,
