split,sample_idx,target_poi_id,target_epoch,traj_len,positive_unique_count,positive_fact_count,parsed_ok,note
train,0,693,1339394749,3,7,7,True,
train,1,3545,1341406814,2,4,4,True,
train,2,212,1334402107,4,1,1,True,
train,3,3545,1335072807,6,1,1,True,
train,4,3544,1336792738,4,1,1,True,
train,5,3824,1337228002,3,3,3,True,
train,6,939,1338444616,3,10,10,True,
train,7,3544,1339212159,2,3,3,True,
train,8,348,1339567276,2,213,372,True,
train,9,348,1341290121,5,231,394,True,
train,10,1485,1341555515,5,11,11,True,
train,11,3544,1336187271,4,0,0,True,
train,12,374,1338198175,5,3,3,True,
train,13,1883,1339065760,6,4,4,True,
train,14,4049,1339562036,4,16,23,True,
train,15,983,1340768697,2,3,5,True,
train,16,341,1341657922,8,14,14,True,
train,17,4686,1352208050,2,6,6,True,
train,18,4049,1334844607,2,3,7,True,
train,19,381,1335095950,2,1,1,True,
train,20,584,1335316997,2,40,78,True,
train,21,1189,1342868560,3,8,8,True,
train,22,3886,1343469335,2,2,2,True,
train,23,1093,1344761245,3,14,15,True,
train,24,739,1344944141,3,42,44,True,
train,25,1093,1345279243,2,15,16,True,
train,26,3886,1346846351,2,3,3,True,
train,27,1632,1347620693,2,43,54,True,
train,28,739,1351162736,7,49,52,True,
train,29,1189,1351399625,2,11,11,True,
train,30,1828,1341061199,2,2,2,True,
train,31,3886,1341311705,2,0,0,True,
train,32,1093,1342173616,7,12,13,True,
train,33,739,1342609281,5,38,39,True,
train,34,964,1336175799,6,16,20,True,
train,35,1569,1336353144,3,4,6,True,
train,36,356,1336789171,10,155,228,True,
train,37,1320,1337042509,5,1,2,True,
train,38,356,1337404203,5,196,296,True,
train,39,3322,1337646603,2,9,14,True,
train,40,4309,1338251612,2,4,5,True,
train,41,4049,1338814402,3,13,19,True,
train,42,3322,1339113657,4,11,17,True,
train,43,4049,1341629449,5,19,28,True,
train,44,4472,1341802116,3,10,15,True,
train,45,4599,1342150970,4,5,5,True,
train,46,4599,1343633015,3,5,6,True,
train,47,2941,1347513161,2,4,6,True,
train,48,4049,1350953356,2,24,34,True,
train,49,4472,1334884068,17,2,4,True,
train,50,3322,1335138814,2,1,4,True,
train,51,4049,1335526205,7,7,11,True,
train,52,1513,1344549239,2,3,4,True,
train,53,1121,1335090331,2,0,0,True,
train,54,1513,1351203324,3,7,9,True,
train,55,1467,1336106120,2,1,1,True,
train,56,4454,1336370222,2,1,1,True,
train,57,2184,1336736824,2,3,3,True,
train,58,1467,1336971180,3,11,11,True,
train,59,81,1341561000,4,1,1,True,
train,60,1161,1341815913,2,9,11,True,
train,61,356,1342087947,3,353,513,True,
train,62,232,1334462358,2,19,23,True,
train,63,3793,1334993923,3,6,6,True,
train,64,3988,1336057250,2,5,6,True,
train,65,1323,1339323171,2,2,2,True,
train,66,995,1341396468,2,5,5,True,
train,67,799,1334480173,3,11,16,True,
train,68,3192,1335313369,3,4,7,True,
train,69,3690,1342463188,3,6,12,True,
train,70,500,1338294616,4,2,2,True,
train,71,349,1338512417,2,1,2,True,
train,72,404,1338821050,7,93,138,True,
train,73,405,1341803477,8,55,57,True,
train,74,3690,1342025341,3,4,9,True,
train,75,3373,1333580668,3,1,1,True,
train,76,2393,1336560853,7,4,6,True,
train,77,3000,1336778101,6,6,13,True,
train,78,2095,1337410988,20,10,17,True,
train,79,3373,1337643867,4,12,22,True,
train,80,3090,1337955236,2,20,26,True,
train,81,2095,1338171728,2,11,20,True,
train,82,3373,1338849566,5,14,25,True,
train,83,2009,1339584318,18,11,18,True,
train,84,2009,1342439327,3,11,19,True,
train,85,4971,1351424709,3,19,20,True,
train,86,2009,1334480375,17,3,5,True,
train,87,3000,1335222524,19,2,7,True,
train,88,3373,1335394243,3,5,9,True,
train,89,2009,1335691482,7,5,9,True,
train,90,2009,1336295969,15,7,11,True,
train,91,3522,1351406554,11,1,2,True,
train,92,4759,1352264374,8,1,2,True,
train,93,4759,1352446289,2,2,3,True,
train,94,234,1333580926,4,3,5,True,
train,95,249,1335674933,6,16,16,True,
train,96,234,1336190494,7,45,90,True,
train,97,234,1336561704,3,50,98,True,
train,98,234,1336956684,11,60,115,True,
train,99,234,1337418527,14,69,141,True,
train,100,234,1337638568,2,70,143,True,
train,101,234,1337934086,2,75,149,True,
train,102,234,1333836980,6,4,9,True,
train,103,1467,1338290588,10,23,24,True,
train,104,234,1339027581,8,91,178,True,
train,105,234,1339628238,17,105,204,True,
train,106,234,1340059187,7,106,209,True,
train,107,3190,1340246345,2,5,6,True,
train,108,234,1341549131,18,117,233,True,
train,109,234,1341793534,2,121,238,True,
train,110,234,1334185122,4,10,18,True,
train,111,1852,1342225144,11,5,9,True,
train,112,3190,1342588413,7,10,16,True,
train,113,3190,1343626375,5,11,18,True,
train,114,234,1344212088,2,138,269,True,
train,115,234,1344930335,11,145,283,True,
train,116,3190,1345268674,2,13,23,True,
train,117,234,1347700660,3,149,289,True,
train,118,234,1334534219,4,19,35,True,
train,119,234,1350945106,2,152,293,True,
train,120,234,1351338894,4,153,296,True,
train,121,234,1352412450,4,155,301,True,
train,122,234,1334876820,7,27,51,True,
train,123,234,1335068104,4,29,56,True,
train,124,234,1335397414,3,35,67,True,
train,125,1171,1335689557,7,1,1,True,
train,126,163,1336303258,10,3,3,True,
train,127,4790,1336841231,15,3,5,True,
train,128,2662,1337391175,2,4,4,True,
train,129,724,1343480909,4,4,4,True,
train,130,163,1344492118,2,6,8,True,
train,131,4344,1344773221,4,2,2,True,
train,132,553,1347723829,4,6,6,True,
train,133,350,1333866278,3,4,4,True,
train,134,3697,1334239715,4,13,15,True,
train,135,2246,1334540770,8,1,1,True,
train,136,1286,1334798776,2,1,1,True,
train,137,1687,1333506684,2,0,0,True,
train,138,1667,1335397084,4,13,21,True,
train,139,2587,1336561908,4,3,4,True,
train,140,2587,1337181501,6,4,6,True,
train,141,1667,1338256158,2,27,43,True,
train,142,1974,1339209391,8,2,3,True,
train,143,2587,1339600782,6,6,12,True,
train,144,1974,1340762149,2,3,5,True,
train,145,1687,1334629878,4,3,4,True,
train,146,1687,1334901517,3,3,5,True,
train,147,3419,1333465126,2,0,0,True,
train,148,3041,1337167142,6,1,1,True,
train,149,3170,1339952084,2,4,5,True,
train,150,4255,1335333492,3,1,1,True,
train,151,4255,1336543358,3,2,4,True,
train,152,356,1337939172,2,212,319,True,
train,153,279,1335679619,4,18,24,True,
train,154,3724,1333853305,2,4,4,True,
train,155,3489,1336191756,9,3,5,True,
train,156,3489,1336789646,2,4,7,True,
train,157,2468,1338107396,2,3,3,True,
train,158,684,1339238314,7,3,3,True,
train,159,3291,1339485660,3,17,24,True,
train,160,1188,1341053520,3,3,3,True,
train,161,4893,1341394760,2,32,32,True,
train,162,1047,1341664640,3,8,9,True,
train,163,1576,1334399699,8,1,1,True,
train,164,3163,1342170132,2,17,51,True,
train,165,2225,1342522163,3,2,2,True,
train,166,390,1349951948,2,56,82,True,
train,167,3274,1352100176,2,18,22,True,
train,168,2974,1335521582,3,3,4,True,
train,169,2645,1337951400,2,5,5,True,
train,170,1494,1338775824,3,11,24,True,
train,171,2787,1339055747,2,14,23,True,
train,172,3997,1339368892,2,8,8,True,
train,173,3159,1339629422,4,22,49,True,
train,174,4617,1341732820,18,2,7,True,
train,175,2075,1342132227,8,2,2,True,
train,176,1911,1342389368,2,20,41,True,
train,177,4249,1342600253,3,3,3,True,
train,178,3020,1345299930,2,9,9,True,
train,179,1076,1336198584,3,12,20,True,
train,180,2114,1336875456,3,4,7,True,
train,181,4308,1338293908,3,2,2,True,
train,182,2114,1342922244,2,5,9,True,
train,183,2114,1343529899,2,7,11,True,
train,184,2114,1334453158,3,1,1,True,
train,185,4308,1344769047,4,5,6,True,
train,186,2114,1351392853,2,9,16,True,
train,187,4308,1335092832,3,0,0,True,
train,188,1135,1349663111,12,4,4,True,
train,189,1521,1349995677,7,12,12,True,
train,190,4089,1336996378,2,0,0,True,
train,191,2866,1337650315,4,1,1,True,
train,192,2317,1338946680,3,3,3,True,
train,193,509,1339160047,4,21,21,True,
train,194,3668,1339548950,3,3,6,True,
train,195,3668,1340240267,2,3,7,True,
train,196,3668,1341278000,4,5,9,True,
train,197,552,1333512406,2,0,0,True,
train,198,552,1335499885,11,4,5,True,
train,199,836,1336176971,8,12,23,True,
train,200,552,1336538116,6,6,10,True,
train,201,836,1336951543,3,14,29,True,
train,202,836,1337382569,10,15,34,True,
train,203,552,1338264479,4,7,13,True,
train,204,2746,1338509643,2,9,19,True,
train,205,552,1339128894,10,10,16,True,
train,206,836,1342406371,2,24,49,True,
train,207,836,1334100058,5,3,5,True,
train,208,2746,1334276154,3,3,3,True,
train,209,552,1334894956,5,3,3,True,
train,210,41,1351401459,3,12,12,True,
train,211,656,1351817688,7,76,88,True,
train,212,348,1352247992,3,327,516,True,
train,213,3256,1347651507,6,15,15,True,
train,214,279,1351158055,3,68,78,True,
train,215,435,1336658472,3,4,4,True,
train,216,4610,1336957669,2,2,3,True,
train,217,4610,1337649366,3,4,5,True,
train,218,4610,1338253307,2,4,6,True,
train,219,4610,1339983632,2,5,7,True,
train,220,190,1341661526,2,89,95,True,
train,221,4610,1334624179,5,1,1,True,
train,222,4610,1335230178,2,1,2,True,
train,223,3481,1334258878,3,0,0,True,
train,224,437,1337247777,2,25,37,True,
train,225,3481,1339270162,4,4,4,True,
train,226,68,1341664812,2,2,2,True,
train,227,1794,1342090377,4,2,2,True,
train,228,2279,1343415073,2,4,4,True,
train,229,3481,1344639336,5,7,9,True,
train,230,1722,1345297663,3,4,4,True,
train,231,3481,1350074375,5,8,11,True,
train,232,2279,1351362970,7,5,5,True,
train,233,3481,1334950125,2,1,1,True,
train,234,700,1335266815,3,3,3,True,
train,235,1407,1335599380,2,20,30,True,
train,236,1106,1336191782,2,0,0,True,
train,237,3700,1350621059,4,18,27,True,
train,238,656,1336451481,5,18,21,True,
train,239,656,1337060722,2,22,26,True,
train,240,2164,1337620369,3,6,6,True,
train,241,152,1338217866,2,6,6,True,
train,242,4880,1342074734,2,0,0,True,
train,243,4880,1344926984,2,2,2,True,
train,244,656,1347693480,2,68,77,True,
train,245,1504,1336855909,2,3,4,True,
train,246,1133,1337254056,3,5,5,True,
train,247,1504,1337778555,3,3,5,True,
train,248,634,1339320869,7,10,10,True,
train,249,1504,1351339612,2,5,9,True,
train,250,274,1334947166,2,4,4,True,
train,251,587,1335071179,2,2,2,True,
train,252,525,1335617100,3,5,5,True,
train,253,2979,1343640861,3,6,10,True,
train,254,3156,1344581526,2,2,2,True,
train,255,1872,1344777079,2,3,3,True,
train,256,1872,1352183390,2,4,5,True,
train,257,1898,1336378181,2,2,2,True,
train,258,3473,1334212447,3,0,0,True,
train,259,3213,1336190686,2,3,9,True,
train,260,3213,1336951420,6,5,14,True,
train,261,263,1337961714,2,0,0,True,
train,262,3213,1333842300,2,1,1,True,
train,263,484,1339587518,2,27,28,True,
train,264,3213,1339891795,2,7,18,True,
train,265,1890,1341456100,2,10,14,True,
train,266,3213,1343603922,3,10,23,True,
train,267,3213,1344164114,2,11,25,True,
train,268,3713,1344515108,2,4,4,True,
train,269,3213,1347700259,2,13,28,True,
train,270,3213,1334531708,4,2,5,True,
train,271,3213,1334873619,3,3,8,True,
train,272,477,1333517269,2,0,0,True,
train,273,4513,1336383738,13,7,21,True,
train,274,2475,1336521643,3,5,11,True,
train,275,2475,1336694746,4,6,12,True,
train,276,246,1337366690,12,6,6,True,
train,277,2409,1333955884,9,0,0,True,
train,278,1060,1340756294,4,18,21,True,
train,279,2475,1341397753,6,9,17,True,
train,280,2475,1341826846,7,10,18,True,
train,281,749,1342007738,3,9,9,True,
train,282,1219,1334473936,15,0,0,True,
train,283,4513,1342217773,3,15,43,True,
train,284,4513,1342521156,6,16,47,True,
train,285,4513,1343514210,5,17,50,True,
train,286,4513,1344205388,2,17,51,True,
train,287,404,1344548371,3,146,216,True,
train,288,2475,1346850041,6,15,24,True,
train,289,2409,1334629858,2,4,4,True,
train,290,4513,1347626698,2,21,58,True,
train,291,4513,1350621379,4,22,60,True,
train,292,4513,1351312574,19,23,70,True,
train,293,4513,1351463362,3,24,72,True,
train,294,4513,1351811540,6,25,77,True,
train,295,4513,1352241741,3,26,80,True,
train,296,1060,1335228116,11,7,8,True,
train,297,3026,1335686282,14,2,2,True,
train,298,4513,1335889958,2,5,17,True,
train,299,437,1336568676,5,18,23,True,
train,300,3821,1338859024,4,16,23,True,
train,301,437,1339592622,37,40,58,True,
train,302,4101,1339876903,4,7,21,True,
train,303,3239,1337231966,24,2,6,True,
train,304,4101,1337367479,2,2,6,True,
train,305,3821,1337648983,3,10,14,True,
train,306,1608,1338045721,5,2,2,True,
train,307,437,1338295832,8,33,47,True,
train,308,203,1345277350,5,9,9,True,
train,309,368,1337144277,4,4,4,True,
train,310,3422,1337421992,4,3,5,True,
train,311,1551,1339322544,4,4,4,True,
train,312,1206,1339926395,2,3,5,True,
train,313,1052,1343551241,5,0,0,True,
train,314,4750,1334448463,2,2,2,True,
train,315,3596,1335164768,2,1,1,True,
train,316,4098,1336349034,6,1,2,True,
train,317,3422,1336865559,5,2,3,True,
train,318,3707,1341389151,3,13,25,True,
train,319,3980,1341749160,5,10,10,True,
train,320,169,1337347120,4,5,5,True,
train,321,1975,1337649912,2,6,14,True,
train,322,742,1339117939,4,11,12,True,
train,323,1975,1339556856,5,8,17,True,
train,324,1975,1340242666,3,8,18,True,
train,325,1463,1341266633,2,77,82,True,
train,326,524,1334895458,3,3,3,True,
train,327,4151,1352436187,2,7,8,True,
train,328,2756,1335030968,2,5,5,True,
train,329,166,1335526177,12,2,2,True,
train,330,353,1335682682,2,11,22,True,
train,331,1975,1336531504,11,3,9,True,
train,332,1432,1336843322,4,3,3,True,
train,333,451,1336461046,7,0,0,True,
train,334,2081,1338109786,3,4,6,True,
train,335,1195,1339376162,3,4,4,True,
train,336,1195,1339980118,2,5,5,True,
train,337,2081,1334476158,4,2,2,True,
train,338,4874,1339413465,3,1,1,True,
train,339,4874,1344901897,2,2,4,True,
train,340,580,1351040470,2,10,47,True,
train,341,991,1351403049,6,8,8,True,
train,342,1472,1341080735,2,17,18,True,
train,343,4874,1341301857,2,2,3,True,
train,344,1392,1336350048,2,4,22,True,
train,345,1392,1336529037,4,7,26,True,
train,346,2210,1337335577,13,8,25,True,
train,347,1392,1337651885,2,9,43,True,
train,348,2120,1337775357,2,13,19,True,
train,349,1136,1338981117,2,101,219,True,
train,350,1136,1339552831,5,110,244,True,
train,351,1136,1342609458,3,135,299,True,
train,352,1136,1350035357,2,155,328,True,
train,353,2672,1335570191,8,3,3,True,
train,354,2210,1336129349,5,4,18,True,
train,355,4314,1336838147,4,2,5,True,
train,356,2264,1337650117,2,11,12,True,
train,357,2743,1338509374,5,3,7,True,
train,358,1557,1339034796,2,7,12,True,
train,359,3182,1339133622,2,9,9,True,
train,360,3082,1339597185,10,7,12,True,
train,361,2632,1334463206,27,1,1,True,
train,362,2665,1339993631,5,4,6,True,
train,363,2530,1340247117,5,10,10,True,
train,364,2743,1340770327,5,6,10,True,
train,365,2119,1341451303,4,9,9,True,
train,366,2743,1341831604,2,6,11,True,
train,367,4314,1342189647,2,9,12,True,
train,368,3082,1342607420,7,11,18,True,
train,369,4314,1344868987,2,12,17,True,
train,370,2130,1345207684,5,14,14,True,
train,371,3182,1335583506,2,5,5,True,
train,372,190,1335675203,2,36,37,True,
train,373,2530,1336193049,3,1,1,True,
train,374,2679,1334027113,4,0,0,True,
train,375,2679,1336714803,3,4,4,True,
train,376,1155,1338701856,2,3,3,True,
train,377,1155,1340775343,2,4,4,True,
train,378,2679,1334294414,5,1,1,True,
train,379,2679,1334637962,8,2,2,True,
train,380,2864,1334983480,3,4,7,True,
train,381,3840,1336180441,2,4,10,True,
train,382,3840,1337218113,2,5,12,True,
train,383,750,1339252556,2,0,0,True,
train,384,3840,1339573693,2,6,15,True,
train,385,2065,1341362757,3,3,3,True,
train,386,3840,1341623221,2,8,18,True,
train,387,254,1341810303,2,67,72,True,
train,388,3840,1342054999,4,10,21,True,
train,389,3840,1334364941,4,1,3,True,
train,390,2065,1334842509,3,1,1,True,
train,391,3840,1335402527,2,3,7,True,
train,392,698,1341316516,2,66,77,True,
train,393,1463,1342140482,2,99,105,True,
train,394,179,1343641204,3,103,116,True,
train,395,94,1339243967,2,1,1,True,
train,396,3672,1334459353,3,0,0,True,
train,397,647,1333584106,4,1,1,True,
train,398,733,1336134139,10,0,0,True,
train,399,647,1336522543,5,8,17,True,
train,400,356,1336814123,5,159,234,True,
train,401,647,1337332435,12,10,23,True,
train,402,647,1337649039,3,11,25,True,
train,403,647,1339114335,10,12,28,True,
train,404,1485,1339629534,9,9,9,True,
train,405,647,1341269707,3,14,33,True,
train,406,647,1342137755,7,15,36,True,
train,407,4682,1342429767,2,16,59,True,
train,408,4682,1334014267,2,1,2,True,
train,409,647,1347581609,2,17,39,True,
train,410,404,1334328327,6,11,17,True,
train,411,647,1350433973,4,18,41,True,
train,412,4682,1334654615,7,4,8,True,
